City,State,Name,Address,Place ID,Map Link,Match Types
Oaxaca de Juárez,Oaxaca,Buffet Chino Hong Kong,"Lateral 206, FERROCARRIL, Jose Vasconcelos, 68115 Oaxaca de Juárez, Oax.",ChIJHSqwRUkix4URFfF18XMORuw,https://www.google.com/maps/place/?q=place_id:ChIJHSqwRUkix4URFfF18XMORuw,pinyin
Oaxaca de Juárez,Oaxaca,Hong Kong,"Dr. Liceaga 107, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax.",ChIJzTUK1Tsix4UR07vHCYLd6kI,https://www.google.com/maps/place/?q=place_id:ChIJzTUK1Tsix4UR07vHCYLd6kI,pinyin
Pachuca de Soto,Hidalgo,Cafetería Hong Kong,"Av Francisco I. Madero 120, Céspedes, 42090 Pachuca de Soto, Hgo.",ChIJmfheMGCn0YURgdQ-pzIkqwY,https://www.google.com/maps/place/?q=place_id:ChIJmfheMGCn0YURgdQ-pzIkqwY,pinyin
Pesquería,Nuevo León,COMIDA CHINA SHENZHEN,"Av. Lucca 402, 66673 Pesquería, N.L.",ChIJVRlWFQDpYoYR5ND__apl7_Q,https://www.google.com/maps/place/?q=place_id:ChIJVRlWFQDpYoYR5ND__apl7_Q,pinyin
Playa del Carmen,Quintana Roo,Hong Kong Express,"Carretera Cancún Tulúm 2422, 77712 Playa del Carmen, Q.R.",ChIJz0Q4u3RDTo8RKEM4Ij19QxA,https://www.google.com/maps/place/?q=place_id:ChIJz0Q4u3RDTo8RKEM4Ij19QxA,pinyin
Playa del Carmen,Quintana Roo,Hong Kong Express Colosio,"Av Luis Donaldo Colosio 59, Santa Fe del Carmen, 77710 Playa del Carmen, Q.R.",ChIJtUCEMQBDTo8RJt9WhlI8X00,https://www.google.com/maps/place/?q=place_id:ChIJtUCEMQBDTo8RJt9WhlI8X00,pinyin
Puerto Vallarta,Jalisco,Xian Wei,"C. Juárez 252, Centro, 48300 Puerto Vallarta, Jal.",ChIJj-fRwU5FIYQRPsLggWgdgyQ,https://www.google.com/maps/place/?q=place_id:ChIJj-fRwU5FIYQRPsLggWgdgyQ,pinyin
Reynosa,Tamaulipas,Comida china Beijing,"Naranjos 18, Lomas del Real de Jarachina Nte., 88730 Reynosa, Tamps.",ChIJ-c4_EdcFZYYRHPY1Xzvcd68,https://www.google.com/maps/place/?q=place_id:ChIJ-c4_EdcFZYYRHPY1Xzvcd68,pinyin
Reynosa,Tamaulipas,Comida China Xian,"Punta Calabozo, Puerta del Sol, 88736 Reynosa, Tamps.",ChIJJ96DZEUFZYYREbk7AvBUsOc,https://www.google.com/maps/place/?q=place_id:ChIJJ96DZEUFZYYREbk7AvBUsOc,pinyin
Reynosa,Tamaulipas,HICHA 槑茶,"sucursal periférico,libramiento sur, Autop. Monterrey - Reynosa 1000-s/n, Lomas del Real de Jarachina Sur, 88730 Reynosa, Tamps.",ChIJPycphlcFZYYR1S5loCDq6Uw,https://www.google.com/maps/place/?q=place_id:ChIJPycphlcFZYYR1S5loCDq6Uw,han
Reynosa,Tamaulipas,Hong Kong,"Blvd. Hidalgo 101, Las Fuentes, 88710 Reynosa, Tamps.",ChIJ0RTruPoFZYYRQHOdoegrJa0,https://www.google.com/maps/place/?q=place_id:ChIJ0RTruPoFZYYRQHOdoegrJa0,pinyin
Saltillo,Coahuila de Zaragoza,Comida China Hong Kong,"Parque Industrial Amistad Alianzas, 25083 Saltillo, Coah.",ChIJYUayuUpziIYR8S1idbco4Yg,https://www.google.com/maps/place/?q=place_id:ChIJYUayuUpziIYR8S1idbco4Yg,pinyin
Saltillo,Coahuila de Zaragoza,Hong Kong City,"Blvd. Eulalio Gutiérrez Treviño 525-Local 19, Planta alta, Jardines de la Florida, 25296 Saltillo, Coah.",ChIJG3pRKgATiIYRSfUxH3QYrU4,https://www.google.com/maps/place/?q=place_id:ChIJG3pRKgATiIYRSfUxH3QYrU4,pinyin
Saltillo,Coahuila de Zaragoza,JíXiáng Saltillo,"Pérez Treviño, Perez Treviño 449, Zona Centro, 25000 Saltillo, Coah.",ChIJpSZ-HQBziIYRi74qXZpVIbk,https://www.google.com/maps/place/?q=place_id:ChIJpSZ-HQBziIYRi74qXZpVIbk,pinyin
San Cristóbal de las Casas,Chiapas,Hong - Kong,"Periférico Norte Poniente #29, Los Alcanfores, 29265 San Cristóbal de las Casas, Chis.",ChIJq-4mWqZF7YURKVl8sJj-OeM,https://www.google.com/maps/place/?q=place_id:ChIJq-4mWqZF7YURKVl8sJj-OeM,pinyin
San Cristóbal de las Casas,Chiapas,Hong Kong Comida China,"San Ramon, 29265 San Cristóbal de las Casas, Chis.",ChIJ5clfV0hF7YURd0KRERrV76w,https://www.google.com/maps/place/?q=place_id:ChIJ5clfV0hF7YURd0KRERrV76w,pinyin
San Cristóbal Huichochitlán,Estado de México,HONG COMIDA CHINA 宏中国菜,"50200, Manzana 017, San Cristóbal Huichochitlan, Delegación San Cristóbal Huichochitlán, 50200 San Cristóbal Huichochitlán, Méx.",ChIJ6xI2nZl30oURwGnpRsjyImg,https://www.google.com/maps/place/?q=place_id:ChIJ6xI2nZl30oURwGnpRsjyImg,han
